epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,4614.95,0.55671,0.38443,0.92723,0.96941,0.98177,0.99118,0.86057,0.60694,0.28057,0.96743,0.000163052,0.000163052,0.000163052
75,4677.22,0.55478,0.3875,0.92413,0.97667,0.97486,0.99159,0.85935,0.62155,0.28777,0.97635,0.000157231,0.000157231,0.000157231
76,4739.37,0.54576,0.37581,0.92388,0.98612,0.9777,0.99206,0.84751,0.62616,0.27936,0.99032,0.00015141,0.00015141,0.00015141
77,4801.98,0.54995,0.38299,0.91989,0.98016,0.98291,0.99168,0.85648,0.61201,0.27855,0.97909,0.000145589,0.000145589,0.000145589
78,4864.47,0.54877,0.37696,0.91997,0.97205,0.98962,0.99163,0.85881,0.6058,0.27174,0.98723,0.000139768,0.000139768,0.000139768
79,4926.8,0.54714,0.38017,0.92094,0.98132,0.98213,0.9925,0.86168,0.59687,0.26993,0.96933,0.000133946,0.000133946,0.000133946
80,4989.35,0.54424,0.37721,0.92152,0.97758,0.98306,0.99289,0.86128,0.60188,0.27442,0.97948,0.000128125,0.000128125,0.000128125
81,5051.82,0.54058,0.37082,0.9171,0.97245,0.97863,0.9908,0.85724,0.59787,0.28151,0.96331,0.000122304,0.000122304,0.000122304
82,5114.45,0.53675,0.37166,0.91757,0.9689,0.98385,0.99073,0.85892,0.5955,0.2864,0.96655,0.000116483,0.000116483,0.000116483
83,5176.77,0.53659,0.36854,0.91575,0.97652,0.9797,0.99121,0.8614,0.61066,0.28946,0.97668,0.000110662,0.000110662,0.000110662
84,5239.22,0.53376,0.36797,0.9202,0.97541,0.97807,0.99188,0.85852,0.6008,0.28268,0.97949,0.00010484,0.00010484,0.00010484
85,5301.72,0.52224,0.35909,0.91213,0.97683,0.98068,0.99125,0.857,0.60857,0.2814,0.98653,9.90192e-05,9.90192e-05,9.90192e-05
